INDEX,ID-EVENTO,TITULO,PRECIO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,BARRIO-INSTALACION,LATITUD,LONGITUD,TIPO
569,11768265,KMRU &amp; Aho Ssan 'Soundset Series',14 euros,0,-,2023-03-17 00:00:00.0,2023-03-17 23:59:00.0,20:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,JOBO
580,11693850,La habitación blanca,18 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-03-10 00:00:00.0,2023-04-09 23:59:00.0,19:30,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
605,11768244,La vida bajo los párpados,Gratuito con previa descarga de invitación una semana antes de la actividad,0,-,2023-02-28 00:00:00.0,2023-02-28 23:59:00.0,19:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ConferenciasColoquios
614,11821687,Las palmeras salvajes,Entrada gratuita previa reserva de invitación.,1,-,2022-11-26 00:00:00.0,2022-11-26 23:59:00.0,18:30,-,CentroCentro,['1'],PLAZA,CIBELES,1.0,LOS JERONIMOS,40.419011767401095,-3.692206111679657,RecitalesPresentacionesActosLiterarios
618,11693904,Lecturas italianas,10 euros,0,"['J', 'V', 'D']",2023-02-04 00:00:00.0,2023-03-05 23:59:00.0,17:00,-,Naves Español en Matadero,['1.6'],PASEO,CHOPERA,14.0,CHOPERA,40.39241374953321,-3.697247685884226,TeatroPerformance
619,11693833,Lecturas Jacinto Benavente,Entrada 1 espectáculo / 15 euros Entrada 2 o más espectáculos / 12 euros,0,"['V', 'D']",2022-11-15 00:00:00.0,2022-12-11 23:59:00.0,17:00,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,ProgramacionDestacadaAgendaCultura
622,11737446,Leo Leos ¿Qué lees?,40 euros las cuatro sesiones (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad.,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-09-24 00:00:00.0,2022-12-10 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
634,11735883,Los desiertos crecen de noche,Próximamente más información,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2023-02-09 00:00:00.0,2023-03-05 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
635,11851525,Los duendes y renos de Santa Claus,10 euros por niño (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad,0,-,2022-12-11 00:00:00.0,2022-12-11 23:59:00.0,11:30,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
636,11830300,Los estanques y Anni B Sweet,Platea: 28 euros Preferente: frontal: 24 euros Preferente escenario: 28 euros Grada: 22 euros Silla de ruedas: 24 euros,0,-,2023-01-18 00:00:00.0,2023-01-18 23:59:00.0,20:00,"LOS ESTANQUES Y ANNI B SWEET PRESENTAN SU ÁLBUM 'BURBUJA CÓMODA Y ELEFANTE INESPERADO' El nuevo tándem Los estanques y Anni B Sweet ha publicado su primer álbum conjunto, bajo el sugerente título 'Burbuja cómoda y elefante inesperado', con el tema 'Caballitos de mar' como focus track. Compuesto por Anni B Sweet e Iñigo Bregel, y producido íntegramente por el propio Bregel, se ha grabado durante el año pasado entre Madrid y las montañas fronterizas de Lanestosa (Euskadi/Cantabria). Han publicado como singles de adelanto 'He bebido tanto que estoy muerto de sed' (donde la calidez vocal de Anni B Sweet contrasta con el ramalazo incontrolable de Los estanques.), el título es un juego de palabras en el que beber es igual a vivir, y la sed equivale al existencialismo del ser humano. 'Brillabas', 'Tu pelo de flores' y el focus track 'Caballitos de mar'. 'Brillabas' es una canción enérgica que invita a salirse de la línea y probar nuevos caminos. Una vez te adentres en su riff pegadizo, envuelto en una atmósfera de aires setenteros, no querrás salir de él. 'Tu pelo de flores' es 'la canción germen' de este prometedor proyecto: fue la primera en ser escrita y refleja la inercia actual por querer tenerlo todo ya mismo, en el instante exacto en que se desea. En cuanto a 'Caballitos de mar', el tema escogido por la banda como focus track del álbum, es una canción triste camuflada en un estribillo lleno de energía y ritmo que recuerda a la Motown de los 60s. 'Cuando la terminas de escuchar tienes más sensación de haber festejado que de haber sufrido una pérdida. Quizá más que un fracaso o una victoria, sea una canción de rabia por lo que pudo ser y nunca fue', destacan. Unión psicodélica LOS ESTANQUES son una banda de pop psicodélico establecida en Madrid, formada por Iñigo Bregel (voz, teclado y guitarra), Germán Herrero (guitarra), Daniel Pozo (bajo) y Andrea Conti (batería). Tras recibir el reconocimiento de la prensa musical y ser nominados a los Premios RUIDO, en 2020 editaron su cuarto disco 'IV', en plena pandemia. Aún así, ofrecieron más de 50 conciertos por todo el país. ANNI B SWEET es una de las artistas más destacadas de la música independiente española. Desde sus tempranas composiciones a los 9 años, la cantautora malagueña afincada en Madrid es hoy referente de nuestra escena folk. Su disco más reciente 'Universo por estrenar' (2019), es el primero que compuso íntegramente en castellano. Este trabajo ha sido galardonado con dos Premios MIN a Mejor Canción y Mejor Producción, y una nominación al MTV EMA",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
646,11768241,Loscil &amp; Rafael Antón Irisarri «Soundset Series»,14 euros,0,-,2023-02-24 00:00:00.0,2023-02-24 23:59:00.0,20:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
652,11768376,Lía Rodrígues 'Fúria',22 euros,0,"['S', 'D']",2023-04-22 00:00:00.0,2023-04-23 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
655,11742786,Madrid Diversa,Entrada gratuita,1,"['M', 'X', 'J', 'V', 'S', 'D']",2022-09-29 00:00:00.0,2023-01-29 23:59:00.0,-,-,CentroCentro,['1'],PLAZA,CIBELES,1.0,LOS JERONIMOS,40.419011767401095,-3.692206111679657,ProgramacionDestacadaAgendaCultura
662,11735886,Marat - Sade,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-02-22 00:00:00.0,2023-02-26 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
671,11735898,Mañanas de abril y mayo,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-04-13 00:00:00.0,2023-05-14 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
673,11735889,Mephisto por ever,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-03-03 00:00:00.0,2023-03-26 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
699,11768364,Mucha muchacha 'para cuatro jinetes',14 euros,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2023-02-24 00:00:00.0,2023-02-26 23:59:00.0,20:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
720,11735918,Música en la Villa,Más información sobre precios y programación en próximas fechas,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-06-28 00:00:00.0,2023-07-02 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
722,11693994,Naves del Español 15 años,Entrada libre,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-10-13 00:00:00.0,2023-07-31 23:59:00.0,-,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,ProgramacionDestacadaAgendaCultura
730,11772308,Noone's Land,6 euros (tanto niños como adultos),0,-,2022-11-26 00:00:00.0,2022-11-26 23:59:00.0,18:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,TeatroPerformance
746,11831103,Oh Madrid Happy Day!! Coro Gospel de Madrid. Directora: Nancy Roncesvalles Artista invitado: Donnie Harper,"20 euros. Discapacidad y acompañante: 25 % de descuento. Jubilados y mayores 65 años, desempleados y familias numerosas: 14 % de descuento. Amigos del FG.CCV y Artistas de cia.: solo 30 entradas por función (todos los días) 30 % de descuento.",0,-,2022-12-11 00:00:00.0,2022-12-11 23:59:00.0,-,Día 11 de diciembre de 2022.,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
747,11768361,Olga Pericet 'La Leona',18 euros,0,"['J', 'V', 'S']",2023-02-09 00:00:00.0,2023-02-11 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
755,11768193,Pan y circo,Acceso gratuito,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-12-02 00:00:00.0,2023-04-16 23:59:00.0,-,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
760,11693836,París 1940,De 6 a 22 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-11-17 00:00:00.0,2023-01-08 23:59:00.0,-,"París 1940 Creo acertado y oportuno, en estos momentos en que la sociedad, cada vez más olvidadiza de su historia, parece resaltar como ejemplo y valor máximo el triunfo hipermediático, rápido y masivo, que le ofrece la digitalización, los tweets o las fakes news, gracias al big data, big pharma y big finances, pararse a reflexionar sobre nuestro arte dramático. Profundizar en él no únicamente hacia los que practicamos su aprendizaje, sino también hacia el público que lo recibe en vivo. Cuestionarnos sobre nuestro oficio, sobre nuestra realización a través de él o gracias a él. Josep Maria Flotats",Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
765,11768370,Paul B. Preciado 'Yo soy el monstruo que os habla',18 euros,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2023-03-24 00:00:00.0,2023-03-26 23:59:00.0,-,A las 20 horas,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
798,11735901,Que de noche lo mataron,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-04-27 00:00:00.0,2023-05-21 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
807,11830290,Recycled J,Platea: 28 euros Preferente frontal A/B filas 1-4: 28 euros Preferente frontal A/B filas 5-11: 24 euros Preferente frontal C/D filas 1-11: 24 euros Preferente escenario: 28 euros Grada: 22 euros Silla de ruedas: 24 euros,0,-,2023-02-03 00:00:00.0,2023-02-03 23:59:00.0,20:00,"Recycled J presentará su último tema 'Hasta que salga el sol' en el Teatro Circo Price de Madrid, sin duda uno de los conciertos más esperados de este Festival. El artista lleva más de 10 años dentro de la escena de la música emergente afianzándose como uno de los artistas con más proyección en nuestro país. Recycled J traza un arco desde el rap más underground e independiente hasta los sonidos más contemporáneos y populares. El de Carabanchel se define por lo ecléctico y lo disruptivo. Ni dentro del rap, del trap, del pop, del R&amp;amp;B?, ni fuera de todos ellos. En 2010 Jorge Escorial comenzó en el mundo musical en su barrio Carabanchel. Dos años más tarde, publica junto a Natos y Waor: 'Hijos de la ruina'. En 2015 regresa con 'COOL VS RECYCLED J' (2015) y en esa época apuesta por actualizar su nombre artístico. Desde entonces ha sido un non-stop de colaboraciones, de nuevos álbumes, temas y reinvenciones. En los últimos dos años el artista ha editado varias colaboraciones: 'Enganchao' con InnerCut y Beauty Pikete; '404' con Zetazen; y 'Ciego por el Club' con C.R.O, Cruz Cafuné y Israel B. A mitades de año pasado , Recycled colabora con ROUSS en 'Cobarde' y ha lanzado junto Natos y Waor 'Hasta que salga el sol', una pieza de tintes electrónicos. Sus últimos éxitos han llevado a acumular más de 1M de oyentes mensuales en plataformas digitales como Spotify y más de 90M de visualizaciones en su canal de YouTube.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
826,11735871,Retorno al hogar,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-01-12 00:00:00.0,2023-02-05 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
831,11768253,Robert Wilson 'Deafman Glance' + 'Stations',"3,50 euros",0,-,2023-03-08 00:00:00.0,2023-03-08 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
835,11693857,Romeo y Julieta,De 6 a 22 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-04-15 00:00:00.0,2023-06-04 23:59:00.0,-,"Todos conocemos 'la excelente y lamentable tragedia de Romeo y Julieta'. Los amantes que prefirieron morir juntos antes que vivir separados. Shakespeare dice que la muerte es el fin de todo y que Romeo y Julieta murieron abrazados en el mausoleo de Verona. Ahora, 400 años después, os vamos a demostrar que Shakespeare se equivocó: Ana Belén y José Luis nos van a contar la verdadera historia de este amor prohibido. Julieta y Romeo despiertan después de un largo sueño, pero no se reconocen. Julieta solo ve a un caballero ochentón y Romeo a una dama muy bien conservada. Los dos se creen que aún son un par de adolescentes. Julieta piensa que solo durmió un par de instantes y espera ansiosamente a su eterno amado. Romeo, en cambio, no se acuerda de nada. Y así, lo que siempre creímos que era el final de la tragedia es el comienzo de la verdadera historia de los amantes más famosos del mundo. Julieta tiene que reconocer que ya no tiene 16 años y Romeo tiene que enfrentarse a una pared blanca contra la que choca al intentar recordar quién es y de dónde viene. Entre la felicidad de por fin poder estar juntos y la enorme tristeza de no haber podido vivir una vida entera juntos, los dos intentan averiguar cómo llegaron hasta aquí y qué es lo que todavía les une. Ana y José Luis nos cogen de la mano y nos enseñan las escenas más enigmáticas de la tragedia. Se enamoran, se enfrentan en duelo, se fugan, se casan, cantan y bailan, se envenenan y, al final, mueren para demostrar a Shakespeare que la muerte no es el fin de todo.",Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
837,11737443,Ronda de libros,40 euros las cuatro sesiones (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-09-24 00:00:00.0,2022-12-10 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
839,11772353,Ruedas y re-tuercas,5 euros,0,-,2022-11-26 00:00:00.0,2022-11-26 23:59:00.0,12:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,CursosTalleres
851,11830271,Second,Platea: 30 euros Preferente frontal: 25 euros Preferente escenario: 30 euros Grada: 22 euros Silla de ruedas: 25 euros,0,-,2023-01-28 00:00:00.0,2023-01-28 23:59:00.0,20:00,"Second regresa a la escena musical con un nuevo álbum que lleva por nombre 'Flores Imposibles'. Veremos a unos Second en su estado más poético, enérgico y elegante con canciones nacidas en un entorno hostil. Ellos mismos lo cuentan así: 'No ha sido la mejor etapa para todos, pero hemos abierto una grieta, entra un hilo de luz, y echamos abajo el muro. Una búsqueda interior para emerger al exterior'. Su estilo musical se mueve desde el indie rock al rock alternativo, música que han llevado a llenar conciertos en pequeñas salas y en grandes festivales. Con 8 discos oficiales publicados y una trayectoria de más de 20 años, Second es una de las bandas más importantes de la escena indie rock nacional. El grupo formado por Sean Frutos (voz), Jorge Guirao (guitarra), Fran Guirao (batería) y Nando Robles (bajo), con su arrollador directo como principal argumento durante todos estos años, ha protagonizado extensas giras por todo el territorio nacional agotando entradas en plazas cada vez mayores, encabezando los carteles de los principales festivales y llegando a lo más alto en listas de ventas y plataformas digitales con lanzamientos como su último álbum, 'Anillos y Raíces' (2018). El título de este octavo disco hace referencia a la naturaleza y remarca cierta similitud con su trabajo y dedicación. Las raíces serían la esencia, el germen de todo, y los anillos se refieren a lo vivido, a la experiencia que se crea a lo largo de los años. De esta forma, las canciones, surgen de las raíces, de lo más interno que crece y poco a poco sale al exterior. Igual que los árboles y otros protagonistas de la naturaleza. Ya podemos escuchar su último single 'Muévete y siente' y queda muy poco para descubrir las sorpresas que nos traerán con el álbum.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
870,11848474,Sobre la vida de los animales,18 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-12-15 00:00:00.0,2023-01-15 23:59:00.0,-,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
873,11768256,Space Afrika &amp; Valentina Magaletti + Ylia 'Soundset series',14 euros,0,-,2023-03-10 00:00:00.0,2023-03-10 23:59:00.0,20:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
890,11737433,Taller de teatro en inglés (8-11 años),132  euros el trimestre (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad.,0,-,2022-09-27 00:00:00.0,2022-12-20 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
897,11751222,Talleres del Price,A la venta la semana del 12 de septiembre Bono de 10 sesiones (comprende el trimestre completo): 140 euros Bono de 5 sesiones (comprende medio trimestre y permite seleccionar 5 días sueltos): 90 euros Una sesión: 20 euros,0,['S'],2022-10-01 00:00:00.0,2022-12-17 23:59:00.0,-,-,Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
898,11765626,Talleres para colegios (Infantil y Primaria),8 euros por alumno (Grupos mínimo 20 alumnos) El pago se realizará por transferencia por el total Más información y reserva de tu visita para el curso 2022-23 en el correo info@casalector.es,0,['X'],2022-09-07 00:00:00.0,2023-07-27 23:59:00.0,-,-,Casa del Lector,['3'],PASEO,CHOPERA,14.0,CHOPERA,40.39343275613288,-3.6985778802913103,CursosTalleres
910,11693867,Teatro del privado horror,Entrada gratuita ,1,"['M', 'X', 'J', 'V', 'S', 'D']",2022-11-15 00:00:00.0,2023-04-30 23:59:00.0,-,Martes a domingo / De 11 a 14 horas y de 16 a 18 horas,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,ProgramacionDestacadaAgendaCultura
914,11772329,Tejer con los dedos,5 euros (tanto niños como adultos),0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-10-01 00:00:00.0,2022-12-11 23:59:00.0,-,"1, 2, 8 y 9 de octubre / 13 de noviembre / 10 y 11 de diciembre: 12 h. 13, 26 y 27 de noviembre: 17 h.",Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,CursosTalleres
937,11768349,Thomas Ostermeier. Quién mató a mi padre,22 euros,0,"['J', 'V', 'S']",2023-01-19 00:00:00.0,2023-01-21 23:59:00.0,-,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
938,11830296,Tindersticks,Platea: 45 euros Preferente frontal A/B filas 1-4: 45 euros Preferente frontal A/B filas 5-11: 35 euros Preferente frontal C/D filas 1-11: 35 euros Preferente escenario: 45 euros Grada: 30 euros Silla de ruedas: 35 euros,0,-,2023-01-13 00:00:00.0,2023-01-13 23:59:00.0,20:00,"Tindersticks presentará una gira especial para celebrar su 30º aniversario que ha sido bautizada con el nombre de 'tindersticks with orchestra and guests'. Son ya unos clásicos contemporáneos. Comenzaron su andadura en 1991, dos años antes de debutar discográficamente con 'Tindersticks I', álbum en el que ya mostraron muchos de los rasgos distintivos que han marcaron su trayectoria. Con arreglos de y para sibaritas y la voz de barítono de Stuart Staples, sus canciones se lanzaban por las sendas de Gainsbourg y Hazlewood. Al frente, un 'crooner' distinguido para los momentos melancólicos y dándole cobertura, una ristra de de instrumentos que flotaban o lloraban -violines, carillón, trompeta, vibráfono, órgano Hammond...-. Del excelso pop de cámara de sus primeros tres álbumes, recibidos por la crítica con los brazos abiertos, pasaron a arrimarse al soul con 'Simple Pleasure' (1999) y 'Can Our Love...' (2001), demostrando a los escépticos que también sabían mantener el listón muy alto cuando aligeraban el equipaje y que su libro de estilo no era tan estático como les achacaban. Aunque en 2005, cuando Staples inició su carrera en solitario, hubo rumores de ruptura, se quedaron en eso, despejados por su séptimo trabajo, 'The Hungry Saw' (2008). En 2012, con 'The Something Rain', su noveno álbum (siete bandas sonoras para cine, fondos sonoros para museos e instalaciones de arte y discos en directo al margen), reivindicaron de nuevo su elegancia inmarcesible. Tres de sus miembros originales (el arriba citado Staples más Neil Fraser y David Boulter, junto al bajista Dan McKinna y el batería Earl Harvin) fueron quienes grabaron su décimo LP, 'The Waiting Room', que se publicó en enero de 2016, reforzado además con un sólido proyecto visual: un cortometraje de cada una de sus canciones, iniciativa comisionada por diversos directores de cine. Ese mismo quinteto es el que está detrás de su úndecimo trabajo, 'No Treasure But Hope', que salió a la venta el 15 de noviembre de 2019. Staples declaró al respecto: 'Sentí que necesitábamos poder hacer algo significativo'. Y así fue, pues en ese trabajo estos expertos en temas íntimos y expansivos desplegaron un abanico de composiciones repletas de calidez intuitiva, melodías exuberantes y un espíritu inquisitivo. Una obra que arrojó una nueva luz sobre las cualidades centrales de unos tindersticks redescubriendo sus virtudes. Hasta que el 15 de noviembre de 2019 publicaron 'No Treasure But Hope', en el que los británicos buscaron, según palabras de su líder, cantante y compositor, Stuart Staples, 'sentir que teníamos que hacer algo significativo'. Aunque ningún álbum de tindersticks ha carecido de significado, desde luego y ni mucho menos, estos expertos en canciones íntimas y expansivas profundizaron en ese lanzamiento en la calidez intuitiva, las melodías exuberantes y el espíritu inquisitivo de sus canciones. Se trata de una obra que intenta redescubrir lo que pueden hacer. Afirmaba Staples que una regla que impuso a la hora de elaborarlo fue evitar los caminos ya conocidos. 'Los últimos dos álbumes se construyeron gradualmente hasta el punto de estar terminados en nuestro estudio a partir de momentos anteriores de tocar y grabar juntos. Esta vez queríamos hacerlo al revés, hacer algo que significaba estar todos comprometidos y en el mismo momento, con una canción'. Finalmente, en febrero de 2021 ha llegado su sucesor, 'Distractions', que suena como el inicio de un nuevo y fresco capítulo en su historial. Es un trabajo poderoso y evocativo que le habla a su tiempo de forma magra y urgente, pero que también dialoga con su obra precedente sin caer en el estancamiento. De cara a 2022, la formación británica ha ideado una gira especial para celebrar su 30º aniversario, que ha sido bautizada con el nombre de 'tindersticks with orchestra and guests'.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
948,11737440,Trio de AsES: Álbum+App+Arte,40 euros las cuatro sesiones (más gastos de gestión). Solo se devolverá el importe de la matrícula en caso de cancelación de la actividad.,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-09-24 00:00:00.0,2022-12-10 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
950,11693874,True West,20 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-10-28 00:00:00.0,2022-11-27 23:59:00.0,19:00,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
951,11806317,Tutankamon,"Venta de entradas disponible online y en taquilla MAD, situada en la Nave 16 Los precios no incluyen gastos de gestión 1,50 euros por tipo de entrada. Gastos también aplicados en la taquilla física del recinto. Los horarios y precios pueden sufrir modificaciones sin previo aviso o debido a fechas festivas. Desde 9,90 euros",0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-11-04 00:00:00.0,2023-02-28 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
953,11768217,Ulrich Seidl 'Rimini',"3,50 euros",0,-,2023-01-25 00:00:00.0,2023-01-25 23:59:00.0,20:30,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
954,11735845,Un animal en mi almohada,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-12-01 00:00:00.0,2022-12-18 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
967,11768352,Vértebro 'Una imagen terrestre',14 euros,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2023-01-13 00:00:00.0,2023-01-14 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
976,11735907,VII Festival Flamenco Madrid,Más información sobre precios y programación en próximas fechas.,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-05-18 00:00:00.0,2023-06-04 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,DanzaBaile
